id,platform,timestamp,text_raw,label,labeled_at
youtube_00022,youtube,2024-11-20T09:58:37,Update from me: health hazard headlines about Wai Wai are concerning as a regular customer.,,
facebook_00234,facebook,2024-11-22T13:47:34,"KMC fined CG Foods for Wai Wai not meeting acid value standards, that's scary for something I eat weekly Just something I noticed.",,
facebook_00073,facebook,2025-02-14T16:38:39,Big brand vs small challenger always makes people take sides online Wondering what others think.,,
twitter_00083,twitter,2025-05-13T04:10:42,"Been thinking about this - crunched it dry with the masala as a snack, still amazing.",,
youtube_00028,youtube,2024-07-31T03:31:31,Heard the court ordered Current Noodles to stop copying Wai Wai's packaging.,,
twitter_00200,twitter,2025-10-24T23:04:42,Does Wai Wai use palm oil in the noodle cake?,,
youtube_00061,youtube,2025-04-11T02:36:56,"One more thing - trademark case ruling was overdue, the packaging copy was pretty obvious Anyone else notice the same thing?",,
youtube_00185,youtube,2024-12-04T07:21:54,Quality test failed matlab hamro health sanga khelawad vairaxa jasto lagcha That's just how it's been lately.,,
twitter_00283,twitter,2026-03-02T17:45:18,"Good to see Wai Wai pushing hard into the Indian market, well deserved.",,
youtube_00030,youtube,2025-08-28T10:54:20,"Update from me: wai Wai shelves are expanding so much in India stores lately, great to see.",,
youtube_00178,youtube,2025-08-27T00:32:54,"As a longtime customer, what year did Wai Wai actually launch? Been noticing this for a while now.",,
facebook_00249,facebook,2024-12-23T19:39:28,"Just saying, new Wai Wai displays popping up in Indian supermarkets, big expansion push clearly.",,
youtube_00145,youtube,2025-09-27T05:36:37,"CG Foods India growth is showing, Wai Wai is everywhere in stores now Just something I noticed. &amp; loving it tbh <3",,
youtube_00031,youtube,2024-09-25T23:00:30,"Current Noodles ekdam ramro xa, spicy khojne haru le try garnu parxa. 😍😍 http://instagram.com/p/xyz123",,
twitter_00231,twitter,2026-03-05T02:35:29,"CG Foods India growth is showing, Wai Wai is everywhere in stores now Might just be me though.",,
twitter_00247,twitter,2026-02-14T12:35:48,"Every small shop in my town stocks Wai Wai, so convenient.",,
youtube_00135,youtube,2026-06-20T21:30:47,The flavor packet balance is spot on for me Wondering what others think.,,
twitter_00002,twitter,2024-11-20T03:16:50,My hostel days were basically fueled by Wai Wai packets.,,
youtube_00183,youtube,2025-10-16T20:28:24,Just my take but everyone at my hostel switched to 2PM Noodles this year. &lt;3 &lt;3,,
